date,account,amount,currency,description,merchant,category,tags,notes
2026-01-19,Checking,-540,INR,Groceries top-up,FreshMart Grocers,Groceries,food,
2026-01-20,Credit Card,-1599,INR,Shoes purchase,ShoeHub,Shopping,clothing,
2026-01-21,Checking,-300,INR,Coffee,Bean & Brew,Eating Out,coffee,
2026-01-22,Checking,-750,INR,Movie tickets,CineWorld,Entertainment,fun,
2026-01-23,Checking,-2800,INR,Car service,AutoCare,Transport,maintenance,
2026-01-24,Checking,-2100,INR,Mutual fund SIP,IndexFunds,Investments,investing|monthly,
2026-01-25,Checking,-520,INR,Groceries,FreshMart Grocers,Groceries,food,
2026-01-26,Checking,-2100,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2026-01-27,Checking,-1350,INR,Groceries,Daily Needs Store,Groceries,food,
2026-01-28,Credit Card,-4200,INR,Electronics accessory,TechKart,Shopping,gadgets,
2026-01-29,Checking,-980,INR,Doctor consultation,City Clinic,Health,medical,
2026-01-30,Checking,-1600,INR,Dining out,Green Bowl Bistro,Eating Out,food,
2026-01-31,Checking,-900,INR,Charity donation,Helping Hands,Donations,giving,
